what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330952866777
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330952886097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330952930535
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330952964146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330953180264
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330953188019
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330953201037
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330953204108
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1330953297190
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1330953381002
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1330953536721
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1330953539400
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1330953541872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330953639058
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330953686149
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1330953694323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330953731173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330953740210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330953747368
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330953749059
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1330953804910
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1330953806447
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1330953807632
closed,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1330953807632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330954043284
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330954046307
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1330954056370
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1330954125059
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1330954126514
closed,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1330954126515
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1330954130556
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1330954131957
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1330954131957
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1330954133116
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1330954133116
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1330954136899
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1330954136965
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330954139039
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330954141334
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330954172616
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330954175510
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330954182374
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330954184285
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330954194624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330954197133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330954202868
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330954205068
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330954209661
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330954211579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330954233822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330954237619
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1330954304956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330954328605
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330954333209
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1330954376913
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330954420953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330954423221
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330954425607
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330954428332
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330954445014
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330954447289
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330954470609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330954472672
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1330954521485
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330954524571
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330954531770
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1330954540443
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330954543051
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330957053629
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330957251678
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330957254025
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1330957296537
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1330957298224
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1330957313475
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1330957326422
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1330957342640
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1330957356355
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330957396410
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330957414483
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330957423053
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330957437128
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330957533310
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330957535154
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1330957575248
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1330957577255
closed,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1330957577255
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1330957579597
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1330957579664
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330957581172
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330957584726
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330957718924
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330957721310
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1330957733240
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330957828019
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330957830595
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1330957841486
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1330957843231
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1330957860838
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330957860919
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330957864546
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330957881521
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330957883973
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330957918826
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330957921555
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1330957932384
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1330957934506
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1330957937362
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1330958050558
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330958050589
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330958054315
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1330958103971
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330958103997
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330958107687
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1330958211404
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1330958212536
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1330958232425
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1330958233836
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1330958249967
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1330958265837
